"nome_da_serie","temporada","media_nota_temporada","total_votos_temporada","ano_temporada"
"24","5",8.552,32735,"2005"
"24","6",8.04,30684,"2006"
"24","7",8.22083333333333,28282,"2009"
"24","8",8.1875,28204,"2010"
"24 Hours in A&E","1",8.11428571428571,54,"2011"
"24 Hours in A&E","10",7.32,26,"2015"
"24 Hours in A&E","11",7.47142857142857,37,"2016"
"24 Hours in A&E","12",7.2,5,"2016"
"24 Hours in A&E","14",7.4,5,"2018"
"24 Hours in A&E","16",7.74,28,"2018"
"24 Hours in A&E","18",8.4,10,"2019"
"24 Hours in A&E","2",8.775,21,"2012"
"24 Hours in A&E","3",8.41,113,"2013"
"24 Hours in A&E","30",8.4,5,"2023"
"24 Hours in A&E","6",8.35,11,"2014"
"24 Hours in A&E","7",9.2,5,"2014"
"24 Hours in A&E","8",8.28,30,"2015"
"24 Hours in A&E","9",7.4,11,"2015"
"24 Hours in Police Custody","1",7.12857142857143,204,"2014"
"24 Hours in Police Custody","10",8.4,70,"2021"
"24 Hours in Police Custody","11",7.8,65,"2021"
"24 Hours in Police Custody","12",7.88333333333333,92,"2021"
"24 Hours in Police Custody","13",7.97777777777778,143,"2022"
"24 Hours in Police Custody","2",7.03333333333333,96,"2015"
"24 Hours in Police Custody","3",6.76,66,"2015"
"24 Hours in Police Custody","4",7.12222222222222,196,"2016"
"24 Hours in Police Custody","5",7.08,124,"2017"
"24 Hours in Police Custody","6",7.7,183,"2018"
"24 Hours in Police Custody","7",7.2375,189,"2018"
"24 Hours in Police Custody","8",7.75,173,"2019"
"24 Hours in Police Custody","9",8.325,156,"2020"
"24 Hours in Police Custody","\N",8.9,7,"2024"
"24 horas","\N",7.2,6,"1993"
"24 in 24: Last Chef Standing","1",7.8,59,"2024"
"24 to Life","1",6.7,7,"2016"
"24 to Life","2",7.4,5,"2017"
"24 uur met...","1",7.8,6,"2008"
"24 uur met...","10",8.2,19,"2016"
"24 uur met...","2",7,6,"2009"
