"nome_da_serie","startYear","endYear","total_votos","averageRating"
"2024 Republican National Convention","2024","2024",20,6
"2030 - Aufstand der Alten","2007","\N",5,5.4
"2057","2007","\N",81,7.2
"2077 - 10 Segundos Para o Futuro","2018","\N",5,6.6
"2091","2016","2017",45,6.6
"20h10 pétantes","2003","\N",29,9.8
"21 Jump Street","1987","1991",13274,5.5
"21 Sarfarosh - Saragarhi 1897","2018","\N",8,9.2
"21 Thunder","2017","2017",177,7.1
"22 Kids and Counting","2021","2024",5,5.8
"22. juli","2020","2020",371,7.8
"227","1985","1990",3159,7.5
"23 Morde","2019","\N",73,5.7
"23-F: El día más difícil del Rey","2009","2009",23,6.4
"23.5","2024","2024",731,9.4
"24","2001","2010",272378,8.4
"24","2013","2016",1148,8.4
"24 Hours in A&E","2011","\N",361,8.4
"24 Hours in Police Custody","2014","\N",1764,7.8
"24 horas","1992","1993",6,7.2
"24 in 24: Last Chef Standing","2024","\N",59,7.4
"24 to Life","2016","\N",12,6.7
"24 uur met...","2008","2016",50,7.8
"24-stjerners julekalender","2022","\N",296,7.1
"24/7 College Football","2019","\N",41,8.4
"24/7 Penguins/Capitals","2010","\N",15,6.8
"240-Robert","1979","1981",156,8.7
"24: Conspiracy","2005","2005",398,5.3
"24: Day Six - Debrief","2007","2007",176,6.2
"24: Day Zero","2007","2007",25,6.1
"24: Legacy","2016","2017",7293,7.3
"24: Live Another Day","2014","2014",16214,8.3
"24Inside","2004","2007",72,3.9
"25-sai no Joshikousei","2018","2020",96,7
"257 prichin, chtoby zhit","2020","2021",46,6.7
"25ji Akasaka de","2024","2024",46,8
"26 Men","1957","1959",307,6.6
"28 Days Haunted","2022","\N",642,4.8
"29","2018","\N",463,7.8
"2900 Happiness","2007","2009",8,7.6
"2DEZIT","2022","2023",38,7.5
"2Go Mad in Norfolk","2022","\N",155,7.6
"2Moons2","2019","\N",103,7.6
"2REAL4U presents Devil in the Midst Pilot","2018","\N",6,10
"2gether","2020","2020",1842,7.7
"2gether: The Series","2000","2001",172,5.3
"2nd Generation","2018","2018",42,8.4
"2nd House","1973","1976",10,5.9
"2point4 Children","1991","1999",1505,7.6
"3 Body Problem","2024","\N",47007,7.6
"3 Girls 3","1977","1977",11,6.6
"3 Milagros","2011","\N",22,8.6
"3 Minute Wonder","2003","\N",143,7.7
"3 Roses","2021","\N",49,6.3
"3 Will Be Free","2019","2019",23,7.7
"3 by Cheever","1979","\N",125,7.7
"3 caminos","2021","2021",272,7
"3 lbs.","2006","2006",96,7.3
"3 nen A gumi -Imakara minasan wa, Hitojichi desu-","2019","2019",199,8.3
"3%","2016","2020",15170,7.3
"3-2-1 Penguins!","2000","2008",15,5.8
"3-Minute Game Show","2007","\N",34,7.4
"3-South","2002","2003",151,7.2
"30 Days","2005","2008",1041,7.8
"30 Days 30 Sex","2020","\N",8,9.2
"30 Days of Night: Blood Trails","2007","2007",148,6.1
"30 Days of Night: Dust to Dust","2007","2008",50,6.1
"30 Even Scarier Movie Moments","2006","2006",13,4.8
"30 Minuten","1995","1997",41,8.6
"30 Monedas","2020","2023",6965,7.9
"30 Rock","2006","2013",133721,7.2
"30 Weds 21","2021","2022",100,9.2
"30 Youm","2017","2017",128,8
"30 for 30","2009","\N",95904,6.7
"30 for 30 Shorts","2012","\N",3534,6
"30 for 30: Soccer Stories","2014","\N",1735,8.6
"30 minuts","1984","\N",7,7.6
"30 prípadu majora Zemana","1975","1980",399,5.9
"30-Second Bunny Theatre","2004","\N",631,7.4
"30-sai made Doutei dato Mahoutsukai ni Nareru Rashii","2024","2024",123,7.6
"30-sai no hoken taiiku","2011","2011",102,6.1
"300 Million Years","2015","2015",22,6.8
"3000 scénarios contre un virus","1994","\N",123,6.3
"303 - Die Serie","2021","2021",49,8.3
"30° i februari","2012","2016",523,7.2
"31 minutos","2002","2014",1841,9.1
"32 Brinkburn Street","2011","2011",23,4.8
"35 Diwrnod","2014","\N",248,6.7
"35 Serial Killers the World Wants to Forget","2018","2018",36,6.5
"35 sai no kôkôsei","2013","\N",26,6.8
"36 Days","2024","\N",87,5.5
"360° - Die GEO-Reportage","1999","\N",7,7.8
"3615 Monique","2020","\N",100,7
"365","2017","2019",84,7.4
"365: Unmyeongeul Geoseuleuneun 1nyeon","2020","2020",855,8.4
"37 Days","2014","2014",239,8
"37 Grad","1994","\N",24,8.2
"37 Sekunden","2023","\N",25,4.9
"38 Task Force","2016","2016",107,7
"38 popugaev","1976","1991",2819,7.4
"39 i pól","2008","\N",7,6.3
"39 i pól tygodnia","2019","\N",5,7.2
"39/40 The War Through a Lens","2010","2010",16,7.7
"3AM","2015","\N",12,5.4
"3Below: Tales of Arcadia","2018","2019",6279,7.7
"3D Kanojo Real Girl","2018","\N",552,7.2
"3inching Boksu","2022","\N",866,7.6
"3rd Rock from the Sun","1996","2001",49001,7.7
"3sat Festival","2000","\N",97,6.8
"3xManon","2014","\N",78,7.3
"4","2009","2010",174,7.5
"4 Blocks","2017","2019",4812,7.8
"4 Feet High","2020","2021",32,7.4
"4 Minutes","2024","\N",287,7.2
"4 O'Clock Club","2012","2020",12,8.9
"4 Play","1989","1991",77,7.5
"4 estrellas","2023","2024",97,7.4
"4 gegen Z","2005","2007",31,7
"4-nin wa Sorezore Uso wo Tsuku","2022","\N",20,7.1
"40 y 20","2016","\N",12,7.7
"413 Hope St.","1997","1998",6,6
"42 - Die Antwort auf fast alles","2021","2024",5,6.4
"42 Días en la Oscuridad","2022","2022",465,7.5
"42 °C","2021","2021",133,8.1
"4400","2021","2022",2043,5.7
"45 Min","2010","\N",17,7.7
"45 Revoluciones","2019","2019",147,7.5
"46 Days","2021","2021",7,9.3
"46 Yok Olan","2016","2016",1292,8.2
"48 Hours Presents: Live to Tell","2009","\N",28,7
"48 Hours on ID","2010","\N",30,5.8
"48 Hours: Hard Evidence","2005","\N",23,6.8
"49 Il","2011","2011",136,6.9
"4Ever","2023","2023",57,9.7
"4Funnies","2012","\N",9,8.6
"4N1K","2018","2019",135,7.5
"4Play","2017","\N",76,9.5
"4Pop","2003","2004",87,5.2
"4gatsu no Tokyo wa ...","2023","\N",51,7.6
"4th and Forever: Muck City","2020","\N",5,6.8
"5 Mistakes that Caught a Killer","2019","\N",16,7.7
"5 Second Movies","2007","\N",1039,7.2
"5 Years Later","2023","\N",39,9.5
"5 ji kara 9 ji made ~ Watashi ni koi shita ikemen sugiru obôsan","2015","\N",272,9.4
"50 States of Fright","2020","2020",4203,7.2
"50 Ways to Kill Your Mammy","2014","\N",85,8.9
"50 años de","2009","2010",18,6.6
"50 nuances de Grecs","2018","\N",12,6.6
"50/50","1994","\N",63,8.7
"500 Nations","1995","1995",160,8.6
"500 Questions","2015","\N",61,6.8
"500T","2021","2021",25,7.8
"50M²","2021","2021",1196,6.6
"50s Britannia","2013","\N",11,6.7
"54 Below Premieres","2020","\N",5,9
"54 Days","2021","2021",37,7.5
"548 días: Captada por una secta","2023","2023",33,8
"55 Degrees North","2004","2005",114,8.2
"5:32","2021","\N",174,8.7
"5X Comédia","2021","\N",98,5.1
"5ive Days to Midnight","2004","2004",253,7.3
"5th Dimension: Secrets of the Supernatural","2006","\N",19,5.8
"5th Gear","2002","\N",426,6.4
"5th Ward","2018","\N",22,8.8
"6 X Confiné.e.s","2021","\N",40,6.2
"6 passi nel giallo","2012","2015",178,6.7
"60 Days In","2016","\N",4981,6.9
"60 Days In: Narcoland","2019","2019",63,5.7
"60 Days on the Streets","2019","\N",32,7.4
"60 Il, Jijeongsaengjonja","2019","2019",505,8.6
"60 Minutes","1968","\N",4322,8
"60 Minutes","1979","\N",25,6.5
"60 seconds of fear","2017","\N",190,6.6
"600 Bottles of Wine","2017","\N",34,6.4
"609 Bedtime Story","2022","2023",280,10
"61st Street","2022","\N",648,7.8
"63 Up","2019","2019",70,8.4
"66-5","2023","\N",70,7.1
"666 Park Avenue","2012","2013",3831,7.1
"68 Whiskey","2020","2020",959,5.9
"6Teen","2004","2010",2653,8.2
"6ixtynin9: The Series","2023","\N",209,7.1
"7 Days Out","2018","\N",453,7.2
"7 Deadly Sins","2014","2014",211,7.6
"7 Hari Sebelum 17 Tahun","2021","\N",31,9.6
"7 Ilui Wangbi","2017","2017",166,7.5
"7 Little Johnstons","2013","\N",45,5.4
"7 Lives Xposed","2001","\N",34,6
"7 Lives Xposed","2013","\N",71,9.6
"7 Numara","2000","2003",268,9.2
"7 Project","2021","2021",45,7.5
"7 Toughest Days","2023","\N",21,7.3
"7 of 1","1973","1973",363,6.9
"7 vidas","1999","2006",1175,7.2
"7 vs. Wild","2021","2023",1531,7.8
"7.30","2011","\N",78,1
"704 Hauser","1994","1994",60,7
"72 Cutest Animals","2016","\N",376,6.4
"72 Dangerous Animals - Asia","2018","\N",664,6.5
"72 Dangerous Animals: Australia","2014","\N",257,7.3
"72 Dangerous Animals: Latin America","2017","2017",661,7.2
"72 Dangerous Places to Live","2016","2016",238,6.4
"72 Hours: True Crime","2003","\N",200,8.8
"72 Seconds in Rittenhouse Square","2023","\N",6,7.8
"73 Questions","2014","\N",79,8.9
"76 hao kong bu shu dian","2020","2020",10,7
"77 Sunset Strip","1958","1964",9323,6.3
"7Seeds","2019","2020",1141,7.2
"7YUZ","2017","2017",2030,8.4
"7de Laan","2000","\N",14,8.5
"7inui Talchul","2023","\N",316,7.3
"7th Heaven","1996","2007",20205,6.9
"8 Dîwar","2023","\N",70,6.5
"8 Love Stories","1999","2000",6,6.6
"8 Man After","1993","1993",43,5.9
"8 Out of 10 Cats","2005","\N",3812,7.2
"8 Out of 10 Cats Does Countdown","2012","\N",6550,7.4
"8 Simple Rules... for Dating My Teenage Daughter","2002","2005",10296,7.2
"8 Tage","2019","2019",950,6.6
"8 Zeugen","2021","\N",157,6.3
"8-BitRyan","2015","\N",9,10
"8. Gün","2018","2018",134,8.1
"80's Dan","2011","\N",9,10
"800 Words","2015","2018",2623,7.4
"800 metros","2022","2022",135,7.6
"80s","2005","2005",55,5.8
"80s Greatest","2013","\N",10,6.2
"86","2021","2022",19329,7.7
"87th Precinct","1961","1962",485,8.9
"8x45 - Austria Mystery","2006","\N",117,5.1
"9 Hours","2022","\N",195,7.7
"9 Months That Made You","2016","\N",24,7.4
"9 Oguz","2023","2023",19,5.5
"9 Pictures 1 Story","2023","2024",57,7.4
"9 Years to Neptune","2021","\N",9,7.8
"9 to 5","1982","1988",21,5.2
"9-1-1","2018","\N",108185,8.1
"9-1-1: Lone Star","2020","\N",33782,7.3
"9/11 Suspects","2016","2019",32,8.3
"9/11: One Day in America","2021","2021",1901,9.5
"90 Day Bares All","2021","\N",145,6.5
"90 Day Diaries","2021","\N",118,6.2
"90 Day Fiancé","2014","\N",3515,6.8
"90 Day Fiancé UK","2022","\N",588,6.8
"90 Day Fiancé: Before the 90 Days","2017","\N",2022,7
"90 Day Fiancé: Happily Ever After?","2016","\N",2383,6.1
"90 Day Fiancé: Love in Paradise","2021","\N",269,6.1
"90 Day Fiancé: Pillow Talk","2019","\N",78,6.8
"90 Day Fiancé: Self-Quarantined","2020","\N",48,6
"90 Day Fiancé: The Other Way","2019","\N",2616,6.8
"90 Day Fiancé: What Now?","2017","\N",59,6.5
"90 Day: The Last Resort","2023","\N",207,7.3
"90 Day: The Single Life","2021","\N",881,6.3
"90's - A Middle Class Biopic","2024","\N",473,8.3
"90210","2008","2013",17795,6.6
"91 Days","2016","2017",2624,7.6
"911 Crisis Center","2021","\N",84,6.6
"96 Jam","2023","2023",16,8.8
"99","2024","2024",259,8.9
"99 Saker Man Måste Göra Innan Man Dör","2011","\N",5,7.6
"99-1","1994","\N",11,8.2
"99.9 ~ Keiji Senmon Bengoshi","2016","\N",145,6.7
"999: Killer on the Line?","2016","\N",162,6.6
"999: On the Front Line","2017","\N",5,7.8
"9JKL","2017","2018",1161,5.6
"9mm: São Paulo","2008","\N",12,7.7
":Dryvrs","2015","2017",66,7.9
"@midnight","2013","2017",1629,7.5
"A Billion to One","2017","\N",11,6
"A Bit of Fry & Laurie","1987","1995",3473,7.7
"A Bit of a Do","1989","1989",204,6.8
"A Black Lady Sketch Show","2019","2023",1919,7.4
"A Black and White Cartoon","2005","2005",137,7.3
"A Bloody Lucky Day","2023","\N",269,7.9
"A Body That Works","2023","\N",112,8
"A Body in the Basement","2023","\N",99,7.5
"A Boss and a Babe","2023","2023",149,8.4
"A Breeze of Love","2023","2023",61,8
"A Brief History of the Future","2024","\N",144,8
"A Capitol Fourth","1980","\N",128,7.3
"A Captain's Log","2021","\N",7,8.5
"A Casa das Sete Mulheres","2003","2003",6,9.2
"A Celebrity's Guide to Giving","2018","\N",670,9.7
"A Certain Justice","1998","1998",67,7.4
"A Chef's Life","2013","2018",180,8.7
"A Christmas Carol","2019","2019",1840,7.2
"A Christmas Night with the Stars","1958","1994",25,7.6
"A Comédia da Vida Privada","1995","1997",21,9
"A Confession","2019","2019",2240,7.5
"A Conspiração","2024","2024",13,8.2
"A Cook Abroad","2015","2015",74,7.1
"A Cook's Tour","2002","2003",1154,7.9
"A Country Practice","1981","1993",272,8.8
"A Crazy Leo Show","2013","2013",102,9.4
"A Crime to Remember","2013","2018",2381,7.8
"A Current Affair","1990","\N",10,8.7
"A Current Affair","1971","\N",96,1.2
"A DAY IN THE LIFE OF TYLER1","2018","\N",20,10
"A Dance to the Music of Time","1997","\N",127,6.5
"A Dangerous Dynasty: House of Assad","2018","2018",56,8.1
