"nome_da_serie","startYear","endYear","total_votos","averageRating"
"The Night Shift","2014","2017",13187,8
"The Night That Didn't End","2018","2020",118,7.3
"The Nightly Manor","2021","\N",53,8.1
"The Nightly Show","2017","2017",6,5.8
"The Nightly Show with Larry Wilmore","2015","2016",2930,6.4
"The Nightmare Man","1981","1981",36,6.9
"The Nightmare Room","2001","2002",785,8.4
"The Nightmare Worlds of H.G. Wells","2016","2016",295,6.2
"The Nightwatchman","2019","\N",6,6
"The Nile: Egypt's Great River with Bettany Hughes","2019","2019",108,8
"The Nilsen Files","2022","2022",44,6.7
"The Nine","2006","2007",565,6.6
"The Nine Lives of Chloe King","2011","2011",1374,6.7
"The Nine Tailors","1974","1974",138,8.4
"The Nineties","2017","2017",859,8
"The No. 1 Ladies' Detective Agency","2008","2009",2052,7.8
"The Norm Show","1999","2001",4701,7.7
"The Norman Conquests","1977","1977",517,8.7
"The Normans","2010","2010",84,7.6
"The Normies: South Park Reactions","2016","\N",10,7.7
"The North Pole","2024","\N",190,6.5
"The North Water","2021","2021",3137,7.7
"The Nostalgia Chick","2008","2014",1676,7.3
"The Nostalgia Critic","2007","\N",64107,6.7
"The Nostradamus Effect","2009","\N",264,5.9
"The Not-Too-Late Show with Elmo","2020","2023",206,7.1
"The Notorious","2015","\N",74,8.5
"The Noughties","2020","2020",37,6.4
"The Now","2021","2021",302,7.6
"The Numbers Game","2013","\N",61,7.2
"The Nurse","2023","2023",685,7
"The Nurses","1962","1965",28,8.2
"The Nutshack","2007","2011",4969,4.2
"The Nutt House","1989","1989",9,6.6
"The O'Keefes","2003","2003",262,9.7
"The O'Reilly Factor","1996","2017",2815,3.4
"The O. Henry Playhouse","1957","1957",28,6.6
"The O.C.","2003","2007",54132,8.9
"The OA","2016","2019",44719,8
"The Oath","2018","2019",1005,7.4
"The Object of Murder","2019","\N",34,7.5
"The Oblongs...","2001","2002",1221,7.3
"The Obsession","2017","2017",7,6
"The Octonauts","2010","2021",1154,7
"The Odd Couple","1970","1975",10589,7.8
"The Odd Couple","2015","2017",7400,7
"The Odyssey","1992","1994",473,7.3
"The Odyssey","1997","1997",368,6.9
"The Offer","2022","2022",13751,8.2
"The Office","2001","2003",30173,8.2
"The Office","2005","2013",1176338,8.2
"The Office","2022","2023",432,5.3
"The Office","2019","\N",967,5.9
"The Office PL","2021","\N",677,6.1
"The Office: Blackmail","2009","2009",317,7.5
"The Office: Kevin's Loan","2008","2008",336,7.2
"The Office: Subtle Sexuality","2009","2009",239,6.7
"The Office: Superfan Episodes","2020","\N",940,8.1
"The Office: The 3rd Floor","2010","2010",245,7
"The Office: The Accountants","2006","2006",1182,7.4
"The Office: The Girl Next Door","2011","2011",133,6.8
"The Office: The Mentor","2010","2010",253,7.1
"The Office: The Outburst","2008","2008",330,7.3
"The Office: The Podcast","2011","2011",184,6.9
"The Officer Tatum","2016","\N",146,1.2
"The Oland Murder","2020","2020",39,6.8
"The Old Grey Whistle Test","1971","2018",86,8.5
"The Old Guys","2009","\N",149,7.3
"The Old Man","2022","\N",13542,8.4
"The Old Testament Scriptures","1958","1958",100,7.8
"The Oldest View","2023","\N",303,7.9
"The Omega Factor","1979","1979",228,7.4
"The Omid Djalili Show","2007","2008",43,7.1
"The One","2021","2021",2493,6.6
"The One Game","1988","1988",35,6.4
"The One Show","2006","\N",15,2.5
"The One That Got Away","2022","2022",104,6.5
"The One That Got Away","2018","2018",8,7.8
"The One: Making a Music Star","2006","\N",13,3.7
"The Onedin Line","1971","1980",1692,8
"The Onion","2007","\N",547,6.6
"The Onion News Network","2011","2011",212,7.8
"The Online Gamer","2009","\N",54,8.3
"The Only Way Is Essex","2010","\N",568,5.5
"The Opposition with Jordan Klepper","2017","2018",1361,6.9
"The Oprah Conversation","2020","\N",625,4.5
"The Oprah Winfrey Show","1986","2011",2174,5
"The Optimists","2017","2017",96,7
"The Order","2019","2020",10908,7.2
"The Oregon Trail","1976","1978",160,7.2
"The Origin: Madam Koi-Koi","2023","2023",34,8.9
"The Originals","2013","2018",120273,8.2
"The Originals: Awakening","2013","2014",245,8
"The Orville","2017","2022",135799,7.4
"The Osbournes","2002","2005",1256,7.5
"The Osbournes Want to Believe","2020","\N",337,6.6
"The Other Black Girl","2023","2023",1119,6.7
"The Other Guy","2017","2019",206,7.2
"The Other Kingdom","2016","2016",288,7.8
"The Other Mrs Jordan - Catching the Ultimate Conman","2023","2023",18,6.8
"The Other One","1977","1979",16,8
"The Other One","2017","2022",649,8.4
"The Other Side","1999","2006",30,7
"The Other Side","2014","\N",6,6.2
"The Other Two","2019","2023",8669,7.8
"The Other Wife","2012","\N",29,6.3
"The Others","2000","2000",341,7.7
"The Othersiders","2009","2009",5,8.6
"The Ottomans: Europe's Muslim Emperors","2013","2013",68,7
"The Outcast","2015","2015",91,8.1
"The Outcasts","1968","1969",338,8.1
"The Outer Limits","1963","1965",32081,7.9
"The Outer Limits","1995","2002",49521,7.8
"The Outlaws","2021","\N",6647,7.8
"The Outpost","2018","2021",11273,7.7
"The Outs","2012","\N",164,7.4
"The Outsider","1968","1969",48,7.8
"The Outsider","2020","2020",40419,8.8
"The Outsiders","1990","1990",397,6.8
"The Oval","2019","\N",2109,6.4
"The Overlap on Tour","2023","2023",21,7.6
"The Oversharer","2014","2017",45,10
"The Owl","2006","\N",321,7.3
"The Owl House","2020","2023",56239,7.7
"The Owl Service","1969","1970",103,7
"The PJs","1999","2001",998,6.6
"The PM's Daughter","2022","\N",9,7
"The Pacific","2010","2010",26033,8.2
"The Pacific War in Color","2018","2018",161,8.3
"The Pacific: In the Wake of Captain Cook with Sam Neill","2018","2018",25,7
"The Pack","2020","2020",139,7.1
"The Pact","2022","\N",46,6.1
"The Pact","2021","\N",1286,7.2
"The Painter","2022","\N",84,4.9
"The Palace","2008","2008",156,6.8
"The Pale Horse","2020","2020",833,6.8
"The Pallisers","1974","1975",377,7.6
"The Panel","1998","2007",15,5
"The Paper Chase","1978","1986",1094,8
"The Paper Lads","1977","1979",85,7.6
"The Paradise","2012","2013",2672,7.4
"The Paradise Club","1989","1990",44,8
"The Paras: Men of War","2019","2019",20,7.8
"The Paraseekers","2018","\N",43,8.3
"The Parent 'Hood","1995","1999",152,6.2
"The Parent Test","2022","2023",118,7.4
"The Parker Andersons/Amelia Parker","2021","\N",5,6.8
"The Parkers","1999","2023",2596,6.4
"The Parliament","2012","2014",59,9.5
"The Parrot Show","2024","\N",210,6.2
"The Partners","1971","1972",11,8.4
"The Partridge Family","1970","1974",8383,7.6
"The Passage","2019","2019",5257,7.5
"The Passenger","1971","1971",12,8.5
"The Passing Bells","2014","2014",211,6.9
"The Passion","2008","2008",122,6.7
"The Passion (Nederland)","2011","\N",67,7.3
"The Passionate Eye","2005","\N",122,8.4
"The Path","2016","2018",6749,7.5
"The Path to 9/11","2006","2006",35,7.4
"The Patient","2022","2022",9177,7.2
"The Patrick Star Show","2021","\N",2354,5.4
"The Patty Duke Show","1963","1966",2869,7.7
"The Paul Joseph Watson Channel","2011","\N",762,8.3
"The Paul Lynde Show","1972","1973",815,7.8
"The Paul O'Grady Show","2004","2015",23,10
"The Paul Reiser Show","2011","2011",67,5
"The Pauly D Project","2012","2012",26,7.2
"The Paynes","2018","2018",98,8.3
"The Pebbles and Bamm-Bamm Show","1971","1976",273,7.8
"The Pembrokeshire Murders","2021","2021",1411,7.3
"The Penguins of Madagascar","2008","2015",8735,7.2
"The Pentaverate","2022","2022",2502,6.4
"The People v. The Klan","2021","2021",36,6.9
"The People's Choice","1955","1958",5,6.4
"The People's Court","1997","2023",32,8.8
"The Pepsi-Cola Playhouse","1953","1955",72,8.4
"The Perfect Couple","2024","2024",1631,7.1
"The Perfect Murder","2014","2018",1063,6.8
"The Perfect Suspect","2017","\N",18,7
"The Perils of Penelope Pitstop","1969","1971",528,6.4
"The Peripheral","2022","2022",24631,8.1
"The Perry Como Show","1948","1967",7,8
"The Persuaders!","1971","1972",6841,8.1
"The Peter Potamus Show","1964","1966",42,6.2
"The Peter Serafinowicz Show","2007","2008",200,7.8
"The Phantom","2009","2009",89,6.9
"The Phantom Menace: Web Documentaries","1998","1999",8,6.4
"The Phantom of the Opera","1990","\N",67,7.7
"The Pharmacist","2020","2020",1138,7.7
"The Phil Donahue Show","1967","1995",100,8
"The Phil Silvers Show","1955","1959",5793,9
"The Philanthropist","2009","2009",505,7.7
"The Philco Television Playhouse","1948","1956",512,7.9
"The Philosophy of","2015","\N",55,9.1
"The Phoenix","1981","1982",128,7.7
"The Phoenix and the Carpet","1997","1997",30,6.8
"The Phone","2009","\N",8,7.7
"The Piano","2023","\N",77,7.9
"The Pickup Artist","2007","\N",130,6.2
"The Pickwick Papers","1985","1985",140,7.4
"The Pierre Berton Show","1962","\N",28,9.3
"The Piglet Files","1990","1992",50,7.1
"The Pike County Murders: A Family Massacre","2023","\N",69,7.7
"The Pillars of the Earth","2010","2010",5430,7.4
"The Pink Panther","1993","1996",804,5.9
"The Pink Panther","1969","1978",3107,8
"The Pink Panther Show","1969","1970",2851,7.5
"The Pink Panther and Friends","1974","1976",235,6.9
"The Pink Shirt","2023","\N",23,7.2
"The Pinkertons","2014","2015",800,6.8
"The Pioneer Woman","2011","\N",178,8.8
"The Pirates of Dark Water","1991","1992",1521,8.6
"The Pit Stop","2016","\N",57,9.3
"The Pitch","2012","2013",120,7.1
"The Pitts","2003","2003",159,5.3
"The Pizza Show","2016","2018",175,8.3
"The Plane Makers","1963","1965",10,6.1
"The Planet Earth Diaries","2006","2006",131,6.8
"The Planet's Funniest Animals","1999","\N",6,10
"The Planets","1999","1999",541,8
"The Planets","2019","2019",1470,8.6
"The Planets","2017","\N",61,7.5
"The Plantagenets","2014","2014",67,8.5
"The Plastic Man Comedy/Adventure Show","1979","\N",76,5.9
"The Platform","2020","\N",305,7.6
"The Platoon of Power Squadron","2009","2017",300,8.8
"The Play on One","1988","1991",320,7.1
"The Playbook","2005","2009",35,9.2
"The Playbook","2020","2020",1012,8.2
"The Playboy Bunny Murder","2023","2023",10,7.4
"The Playboy Club","2011","2011",670,6.2
"The Playboy Morning Show","2010","2016",38,9.4
"The Playboy Murders","2023","\N",413,7.2
"The Player","2015","2015",2270,7.3
"The Playlist","2022","2022",3196,7.7
"The Playlist","2012","2013",671,9.1
"The Pleasure Zone","1999","1999",30,7.2
"The Plot Against America","2020","2020",4075,7
"The Plucky Duck Show","1992","1992",11,7.6
"The Plush Show 2","2023","\N",10,8.7
"The Pogmentary","2022","2022",2735,1.4
"The Poison Tree","2012","2012",83,7.4
"The Polar Bear Family & Me","2013","2013",50,8.8
"The Polar Sea","2014","\N",68,6.5
"The Pole","2021","2021",89,6.2
"The Politician","2019","2020",11059,7.8
"The Politician's Husband","2013","2013",215,7.8
"The Politician's Wife","1995","1995",43,8.3
"The Pool Master","2014","\N",33,7.7
"The Popcorn Kid","1987","1987",11,6.6
"The Porkotyler Show","2023","\N",478,9.3
"The Porky Pig Show","1964","1967",239,8
"The Portal","2021","\N",84,8.1
"The Porter","2022","2022",203,7.7
"The Portrait of a Lady","1968","1968",54,7.9
"The PoseidonGodofWater20 Movie Collection","2010","\N",5,8.8
"The PoseidonGodofWater20 Show: Actual Version","2011","\N",17,5.9
"The Power","2023","2023",3476,6.8
"The Power of Big Oil","2022","\N",127,7.8
"The Power of Film","2024","2024",352,7.9
"The Power of Nightmares: The Rise of the Politics of Fear","2004","2004",378,8.2
"The Power of Parker","2023","\N",204,7
"The Powerpuff Girls","1998","2004",14697,5.9
"The Powerpuff Girls","2016","2023",7548,3.3
"The Powers That Be","1992","1993",304,7
"The Powers of Matthew Star","1982","1983",1047,3.1
"The Practice","1997","2004",18865,6.9
"The Prank Panel","2023","2023",333,5.5
"The Premise","2021","2021",1832,8.5
"The Preppy Murder: Death in Central Park","2019","2019",205,6.7
"The President Show","2017","2018",926,7.2
"The Presidents","2005","2005",41,8.1
"The Pressure Game","2023","2023",58,9.5
"The Pretender","1996","2000",12658,8.3
"The Price Is Right at Night","2019","\N",173,7.8
"The Price of Fame","2018","\N",163,7.7
"The Price of Glee","2023","2023",135,6.5
"The Prime of Miss Jean Brodie","1978","1978",81,8.8
"The Prince","2021","2021",1161,5.2
"The Prince","2020","2020",794,7.6
"The Prince and the Pauper","1996","1996",15,6.2
"The Princes and the Press","2021","2021",12,6.2
"The Principal","2015","2016",228,8.4
"The Principles of Pleasure","2022","2022",303,6.6
"The Priory","1999","2001",8,2.8
"The Prison Breaker","2021","2022",24,9.2
"The Prison Confessions of Gypsy Rose Blanchard","2024","2024",219,7.5
"The Prisoner","1967","1968",15360,7.8
"The Prisoner","2009","2009",1625,6.6
"The Private Life of Plants","1995","1995",449,8.6
"The Private Life of a Masterpiece","2001","2011",248,7.9
"The Private Life of...","2010","\N",20,7.4
"The Private Lives of the Tudors","2016","2019",37,7.5
"The Prize: The Epic Quest for Oil, Money & Power","1992","\N",92,7.2
"The Problem Solverz","2010","2013",736,3.6
"The Problem with Jon Stewart","2021","2023",2681,7.6
"The Professionals","1977","1983",7662,7.3
"The Profit","2013","2021",1448,7.8
"The Program: Cons, Cults, and Kidnapping","2024","2024",495,7.7
"The Promise","2011","2011",283,8
"The Promised Land","2024","\N",27,9.9
"The Proof Is Out There","2021","\N",1332,6.5
"The Proof Is Out There: Alien Edition","2024","\N",10,6.8
"The Proof Is Out There: Military Mysteries","2024","\N",53,7.3
"The Proposal","2018","2018",409,8
"The Prosecutors: In Pursuit of Justice","2000","2002",48,6.5
"The Prosecutors: Real Crime and Punishment","2016","\N",11,7.8
"The Protector","2011","2011",300,7.2
"The Protector","2018","2020",37193,6.7
"The Protectors","1972","1974",1954,6.6
"The Protectors","1964","1964",23,7.5
"The Proud Family","2001","2005",2962,8.2
"The Proud Family: Louder and Prouder","2022","\N",4654,5.2
"The Pruitts of Southampton","1966","1967",7,4.8
"The Psychiatrist","1970","\N",94,8.5
"The Psycho Series","2012","2018",245,8.7
"The Punisher","2017","2019",171324,8.5
"The Puppet Master: Hunting the Ultimate Conman","2022","2022",669,7
"The Puppy Blog","2013","\N",849,7.1
"The Purge","2018","2019",14737,7.2
"The Pursuit of Excellence","2007","\N",28,8.3
"The Pursuit of Love","2021","2021",687,7
"The Pussycat Dolls Present: The Search for the Next Doll","2007","\N",8,6
"The Putin Interviews","2017","2017",786,6.9
"The Pyramid","2012","\N",8,9.6
"The Pyramid Code","2009","2009",258,6.8
"The Pyrenees with Michael Portillo","2022","\N",28,7.2
"The Quad","2017","2018",182,7
"The Quatermass Experiment","1953","1953",125,7.8
"The Queen","2009","2009",99,6.6
"The Queen","2016","\N",6,9.7
"The Queen Latifah Show","2013","2015",18,9
"The Queen's Gambit","2020","2020",79421,8.4
"The Queen's Garden","2014","\N",16,7.9
"The Queen's Nose","1995","2003",162,7.6
"The Queen's Palaces","2011","\N",73,8.1
"The Quest","1976","1976",264,6.8
"The Quest","2022","2022",257,6.9
"The Quest","2014","\N",495,8.6
"The RVers","2019","\N",50,9.6
"The Raccoons","1985","1992",773,6.2
"The Rachel Maddow Show","2008","\N",23,7.8
"The Rachel Zoe Project","2008","\N",10,5.9
"The Radical Story of Patty Hearst","2018","2018",139,7
"The Radkes","2019","2019",28,4.9
"The Rag Trade","1961","1963",150,7
"The Rag Trade","1975","1978",51,5.8
"The Raggy Dolls","1986","1994",9,7
"The Raikar Case","2020","\N",305,8.5
"The Railway Children","1968","1968",8,7.6
"The Railway Men: The Untold Story of Bhopal 1984","2023","2023",2870,8.1
"The Rain","2018","2020",15256,6.9
"The Rain in España","2023","2023",435,8
"The Rainbow","1988","1988",20,5.8
"The Raincoat Killer: Chasing a Predator in Korea","2021","2021",342,6.6
"The Ranch","2016","2020",32828,6.7
"The Ranganation","2019","2023",288,7.6
"The Range Rider","1951","1953",604,6
"The Rap Game","2016","\N",197,7.3
"The Rap Game UK","2019","\N",52,6.3
"The Rape of Britain","2022","\N",22,9.2
"The Rat Patrol","1966","1968",3167,7.3
"The Rats","2018","2020",34,7.7
"The Rawside of...","2008","\N",16,6
"The Ray Bradbury Theater","1985","1992",10080,6.2
"The Ray Martin Show","2001","2001",8,7.4
"The Ready Room","2019","\N",938,7.2
"The Reagan Presidency","2012","2012",11,6.2
"The Reagans","2020","2020",333,6.8
"The Real","2013","2022",41,1
"The Real Adventures of Jonny Quest","1996","1997",1380,7.4
"The Real Blac Chyna","2019","\N",10,7.2
"The Real Bros of Simi Valley","2017","2020",1182,9.2
"The Real CSI: Miami","2024","\N",31,7.8
"The Real Cool Club","2009","2010",102,8.2
"The Real Crown: Inside the House of Windsor","2023","2023",18,8.4
"The Real Deal","2007","\N",29,9.6
"The Real Death in Paradise","2022","\N",69,6.1
"The Real Dirty Dancing","2022","2022",29,6.7
"The Real Football Factories","2006","\N",162,7.1
"The Real Friends of WeHo","2023","2023",622,1.6
"The Real Ghost Busters","1986","1991",12699,7.2
"The Real Gilligan's Island","2004","2005",5,6.2
"The Real History of Science Fiction","2014","2014",338,7.7
"The Real Housewives of Atlanta","2008","\N",5930,7.8
"The Real Housewives of Atlanta: Porsha's Family Matters","2021","2022",32,5.7
"The Real Housewives of Beverly Hills","2010","\N",10668,6.4
"The Real Housewives of Cheshire","2015","\N",61,6.5
"The Real Housewives of D.C.","2010","2010",33,8.6
"The Real Housewives of Dallas","2016","2021",772,7
"The Real Housewives of Dubai","2022","\N",540,7.7
"The Real Housewives of Melbourne","2014","\N",361,7.2
"The Real Housewives of Miami","2011","2024",1210,7.1
"The Real Housewives of New Jersey","2009","\N",4096,8.2
"The Real Housewives of New York City","2008","\N",6908,6.7
"The Real Housewives of Orange County","2006","2024",4325,6.5
"The Real Housewives of Potomac","2016","\N",2848,8.1
"The Real Housewives of Salt Lake City","2020","\N",2760,6.8
"The Real Housewives of Sydney","2017","\N",139,5.9
"The Real Housewives: Ultimate Girls Trip","2021","\N",691,7.7
"The Real Hustle","2006","2012",543,6.7
"The Real Jesus of Nazareth","2017","2017",25,7.9
"The Real L Word","2010","2012",168,7.9
"The Real Love Boat","2022","2022",178,6.8
"The Real Mad Men of Advertising","2017","2017",38,8
"The Real Man's Road Trip: Sean & Jon Go West","2012","\N",7,7.4
"The Real Manhunter","2021","\N",140,8.1
"The Real Marigold Hotel","2016","\N",129,6.7
"The Real Marigold on Tour","2016","2019",88,7.5
"The Real McCoy","1991","1996",6,8
"The Real McCoys","1957","1963",5072,7
"The Real Murders of Atlanta","2022","\N",240,8.1
"The Real Murders of Los Angeles","2023","\N",51,6.1
"The Real Murders of Orange County","2020","2023",348,7
"The Real Narcos UK: Blood and Fear","2018","2019",11,5.5
"The Real O'Neals","2016","2017",5056,7.8
"The Real Prime Suspect","2019","\N",5,6.4
"The Real Story of...","2016","2020",110,7.9
"The Real Story with Maria Elena Salinas","2017","2018",90,6.4
"The Real War of Thrones","2017","2018",69,7.5
"The Real West","1992","\N",28,7.9
"The Real White Queen and Her Rivals","2013","2013",21,6.4
"The Real Workout","2007","\N",10,6.4
"The Real World","1992","\N",1977,3.5
"The Real World Homecoming","2021","2022",256,7.6
"The Real...","1998","2004",268,6.4
"The Really Loud House","2022","\N",869,7.7
"The Reaping","2017","2017",84,8.1
"The Rebel","1959","1961",3391,7.8
"The Rebel","2022","2022",3186,7.5
"The Rebel","2016","\N",69,8.1
"The Rebels","2014","\N",60,8.8
"The Rebound","2024","2024",31,8.4
"The Reckoning","2023","2023",937,7.9
"The Reckoning","2011","2011",96,6.6
"The Record Keeper","2012","\N",15,8.5
"The Recruit","2022","\N",7500,7.3
"The Red Ape Family","2021","\N",1680,1
"The Red Green Show","1991","2006",4237,6.5
"The Red King","2024","\N",143,7.4
"The Red Land","2019","2019",5,5.8
"The Red Line","2019","2019",565,7.3
"The Red Road","2014","2015",1879,7.3
"The Red Skelton Show","1951","1971",1319,8.2
"The Red Tent","2014","2014",336,7
"The Redd Foxx Show","1986","1986",36,7
"The Redemption Project with Van Jones","2019","\N",19,8.7
"The Reflection","2017","2017",47,6.2
"The Reflex Experience","2017","2017",364,8.2
"The Refugees","2014","2015",163,7
"The Regency House Party","2004","\N",6,6.4
"The Regime","2024","2024",3701,6.7
"The Rehearsal","2022","\N",12093,9
"The Reluctant Landlord","2018","2019",388,6.4
"The Reluctant Traveler with Eugene Levy","2023","\N",1782,7.6
"The Remix","2018","2018",48,7.9
"The Ren & Stimpy Show","1991","1996",9023,8
"The Renaissance Unchained","2016","2016",64,8.3
"The Repair Shop","2017","\N",2323,8.3
"The Replacement","2017","2017",456,7.5
"The Replacements","2006","2022",1063,6
"The Report of the Week","2011","\N",25,8.9
"The Republic of Sarah","2021","2021",819,7
"The Rerun Show","2002","2002",7,4.8
"The Resident","2018","2023",42035,7.9
"The Resistance","2010","\N",45,8.6
"The Resort","2022","\N",3317,7.6
"The Responder","2022","\N",3173,7.3
"The Restless Gun","1957","1959",2504,7.3
"The Restoration Man","2010","2017",27,6.5
"The Return of Jezebel James","2008","2008",102,7
"The Return of Shelley","1988","1992",221,7.2
"The Return of Sherlock Holmes","1986","1988",10574,8.1
"The Return of Superman","2013","\N",6,10
"The Return of the Borrowers","1993","1993",42,7.2
"The Returned","2015","2015",3370,7.4
"The Reunion","2018","\N",56,8.3
"The Reunion","2022","2022",202,6.7
"The Revlon Mirror Theater","1953","1953",191,3.1
"The Revolution","2006","\N",251,9.1
"The Revolutionary War","1995","\N",31,8.4
"The Reward: Tales of Alethrion","2015","\N",67,8.2
"The Rez","1996","1997",7,7.3
"The Rhinemann Exchange","1977","1977",11,5.2
"The Rich & the Ruthless","2017","\N",25,7.2
"The Rich Man's Daughter","2015","\N",6,7.7
"The Richard Boone Show","1963","1964",180,9
"The Richard Dimbleby Lecture","1972","\N",18,9.4
"The Richard Pryor Show","1977","1977",128,8
"The Riches","2007","2008",2006,7.4
"The Ricki Lake Show","2012","\N",8,9.9
"The Ricky Gervais Show","2010","2012",5783,8.1
"The Ride","2015","\N",111,8.8
"The Rifleman","1958","1963",23353,8.2
"The Rig","2023","\N",2992,6.9
"The Right Stuff","2020","2020",1894,7.3
"The Righteous Gemstones","2019","\N",24390,8.1
"The Ripper","2020","2020",1815,7.2
"The Ripping Friends","2001","2002",66,6.5
"The Rise and Fall of Boris Johnson","2024","\N",56,7.8
"The Rise of the Murdoch Dynasty","2020","2020",147,7.8
"The Rise of the Nazi Party","2013","\N",157,8.4
"The Rising","2022","2022",859,7.2
"The Rising Son","2009","2009",5,7.2
"The Rivals of Sherlock Holmes","1971","1973",1922,7.5
"The River","1988","1988",28,7.6
"The River","2012","2012",2772,6.8
"The Riveras","2016","\N",5,9.2
"The Ri¢hie Ri¢h/Scooby-Doo Show","1980","1982",441,6.8
"The Road Trick","2017","\N",26,7
"The Road West","1966","1967",14,5.8
"The Road to War","1989","\N",25,8.4
"The Roads to Freedom","1970","1970",138,7.8
"The Roaring 20's","1960","1962",118,8
"The Robert Herridge Theater","1960","1961",6,8.8
"The Robert Irvine Show","2016","\N",107,9.7
"The Robert Storms Show","2015","\N",18,1.9
"The Robinsons","2005","\N",144,8.9
"The Rock 'n' Roll Years","1985","1994",24,8.8
"The Rockford Files","1974","1980",37345,7.9
"The Rogue Legends Series","2017","\N",19,7.2
"The Rogues","1964","1965",501,8.3
"The Roles That Changed My Life","2021","\N",101,6.7
"The Roman Holidays","1972","1972",21,6.6
"The Roman Invasion of Britain","2009","\N",7,7.7
"The Romanians Are Coming","2015","\N",29,6.5
"The Romanoffs","2018","2018",9017,7.9
"The Romantic Foibles of Esteban","2008","\N",10,6.4
"The Romantics","2006","2011",5,4.2
"The Romantics","2023","\N",352,8.2
"The Romantics and Us","2020","2020",68,7.4
"The Romeo Section","2015","2016",511,7.7
"The Ron James Show","2009","2014",155,4.4
"The Ron Show!","2023","\N",12,7.9
"The Rook","2019","2019",2033,7.2
"The Rookie","2018","\N",126264,8
"The Rookie: CTU","2007","2008",100,7.2
"The Rookie: Feds","2022","2023",5748,6.1
"The Rookies","1972","1976",2273,7.5
"The Room Actors: Where Are They Now?","2016","2019",53,7.5
"The Roosevelts: An Intimate History","2014","2014",1104,8.3
"The Ropers","1979","1980",1273,7.4
"The Ropes","2011","\N",65,7.2
"The Roseanne Show","1997","2000",184,9.2
"The Rosie O'Donnell Show","1996","2002",2354,2.5
"The Rotten Tomatoes Show","2009","\N",44,8.1
"The Rough Riders","1958","1959",78,7.5
"The Rousters","1983","1984",96,6.7
"The Roy Rogers Show","1951","1957",2047,7.5
"The Royal","2003","2011",1886,7.7
"The Royal Bodyguard","2011","2012",111,5.8
"The Royal Family","1991","1992",205,6.4
"The Royal House of Windsor","2017","2017",829,7.7
"The Royal Institution Christmas Lectures","1966","1999",150,9.2
"The Royal Mob","2022","\N",15,9
"The Royals","2013","2014",17,6.7
"The Royals","2015","2018",7005,7.3
"The Royle Family","1998","2012",4583,8.4
"The Rubbish World of Dave Spud","2019","\N",22,6
"The Ruby Wax Show","1997","\N",31,9.7
"The Ruff & Reddy Show","1957","1962",212,5.2
"The Ruggles","1949","1952",20,6.7
"The Ruling Class","2023","2023",13,6
"The Runaway","2010","2011",172,7.6
"The Rundown with Robin Thede","2017","2018",20,6
"The Runner Digital Series","2019","\N",43,10
"The Russell Howard Hour","2017","\N",385,7.7
"The Ruth Ellis Files: A Very British Crime Story","2018","2018",36,7.5
"The Ruth Rendell Mysteries","1987","2000",4748,7.8
"The S&M Experience","2012","\N",6,7.3
"The SK* Sessions","2009","\N",9,5
"The SMILE Tapes","2021","2022",6,8
"The Sacketts","1979","1979",117,7.6
"The Saddle Club","2001","2009",286,8.6
"The Saint","1962","1969",20377,6.5
"The Salisbury Poisonings","2020","2020",937,7.5
"The San Pedro Beach Bums","1977","1977",29,7.2
"The Sandbaggers","1978","1980",929,8.4
"The Sandman","2022","\N",88967,8
"The Sandra West Diaries","2016","\N",612,8.9
"The Santa Clauses","2022","2023",5670,6.4
"The Santa Stories","2023","\N",8,8.2
"The Sarah Jane Adventures","2007","2011",19002,7.2
"The Sarah Silverman Program.","2007","2010",3133,7.5
"The Sausage Factory","2001","2002",46,8
"The Savage Dragon","1995","1996",224,6.3
"The Savoy","2020","\N",22,8.1
"The Scales of Justice","1962","1967",427,6.6
"The Scandalous Adventures of Lord Byron","2009","\N",7,8.2
"The Scarlet Pimpernel","1955","\N",203,6.9
"The Scarlet Pimpernel","1999","2000",636,7.7
"The Scarlet Ring","2023","\N",14,9.4
"The Schlocky Horror Picture Show","2007","\N",41,4
"The School Nurse Files","2020","2020",204,6.5
"The School That Tried to End Racism","2020","2020",16,6.4
"The Science of Secrecy","2000","2000",17,8.8
"The Scold's Bridle","1998","1998",24,7
"The Scooby and Scrappy-Doo Puppy Hour","1982","1982",331,7
"The Scooby-Doo Show","1976","2021",209,8.4
"The Scooby-Doo/Dynomutt Hour","1976","1978",6799,6.4
"The Scotts","2020","\N",200,6.6
"The Screen Junkies Show","2011","\N",775,6.9
"The Screen Savers","1998","2005",1679,9.3
"The Sculptress","1996","1996",40,7.9
"The Sea Hunters","2002","2006",6,7
"The Search","2021","\N",66,7
"The Search for Instagram's Worst Con Artist","2023","2023",6,7
"The Search for the Next Elvira","2007","2007",32,6.9
"The Search for the Nile","1971","\N",6,9
"The Second Best Hospital in the Galaxy","2024","\N",466,6.9
"The Second Coming","2003","2003",52,7.6
"The Second Hundred Years","1967","1968",33,7
"The Second World War in Colour","1999","\N",39,8.3
"The Secret","2016","2016",579,7.1
"The Secret Adventures of Jules Verne","2000","2000",263,5.4
"The Secret Agent","1992","1992",18,7.2
"The Secret Agent","2016","2016",256,6.9
"The Secret Circle","2011","2012",9209,7.3
"The Secret Daughter","2016","2017",90,7.7
"The Secret Diary of Adrian Mole Aged 13¾","1985","1985",102,7.8
