"titulo_serie","temporada","rating_temporada"
"30 Rock","1",7.84545454545454
"30 Rock","2",8.02666666666667
"30 Rock","3",8.06363636363636
"30 Rock","4",7.86363636363636
"30 Rock","5",7.96956521739131
"30 Rock","6",7.77727272727273
"30 Rock","7",8.03846153846154
"30 Weds 21","1",8.16666666666667
"30 Youm","1",7.16666666666667
"30 for 30","1",7.07333333333333
"30 for 30","2",7.28333333333333
"30 for 30","3",7.2875
"30 for 30","4",7.14
"30 for 30","5",6.32
"30 for 30","\N",6.4
"30 for 30 Shorts","1",6.64428571428572
"30 for 30: Soccer Stories","1",7.05
"30 minuts","\N",7.6
"30 prípadu majora Zemana","1",5.75
"30 prípadu majora Zemana","2",5.91
"30 prípadu majora Zemana","3",5.68
"30-Second Bunny Theatre","\N",6.378125
"30-sai made Doutei dato Mahoutsukai ni Nareru Rashii","1",7.775
"30-sai no hoken taiiku","1",4.975
"300 Million Years","1",6.9
"3000 scénarios contre un virus","1",6.8
"303 - Die Serie","1",8.08333333333333
"30° i februari","1",7.08
"30° i februari","2",7
"31 minutos","1",8.37272727272727
"31 minutos","2",8.74761904761905
"31 minutos","3",8.59333333333333
"31 minutos","4",8.15
"31 minutos","\N",9.1
"32 Brinkburn Street","1",5.35
"35 Diwrnod","1",6.975
"35 Diwrnod","2",6.875
"35 Diwrnod","3",7.4
"35 Serial Killers the World Wants to Forget","1",6.74
"35 sai no kôkôsei","1",7.78
"36 Days","1",4.9625
"360° - Die GEO-Reportage","1",7.8
"3615 Monique","1",6.7
"365","1",7.1
"365","2",2.53333333333333
"365: Unmyeongeul Geoseuleuneun 1nyeon","1",9.07916666666667
"37 Days","1",7.93333333333333
"37 Grad","1",8.5
"37 Grad","\N",8.2
"37 Sekunden","1",5.16666666666667
"38 Task Force","1",7.14375
"38 popugaev","1",7.22
"39 i pól","1",6.3
"39 i pól tygodnia","1",7.2
"39/40 The War Through a Lens","1",7.8
"3AM","1",6.2
"3Below: Tales of Arcadia","1",7.84615384615385
"3Below: Tales of Arcadia","2",7.81538461538462
"3Below: Tales of Arcadia","\N",7.5
"3D Kanojo Real Girl","1",6.98333333333333
"3D Kanojo Real Girl","2",7.7
"3inching Boksu","1",8.175
"3rd Rock from the Sun","1",7.825
"3rd Rock from the Sun","2",7.74615384615385
"3rd Rock from the Sun","3",7.69259259259259
"3rd Rock from the Sun","4",7.89166666666667
"3rd Rock from the Sun","5",7.83181818181818
"3rd Rock from the Sun","6",7.605
"3sat Festival","4",8.1
"3sat Festival","6",7.5
"3sat Festival","7",7.3
"3sat Festival","8",9
"3sat Festival","9",8.3
"3xManon","1",7.46666666666667
"4","1",7.385
"4 Blocks","1",8.06666666666667
"4 Blocks","2",8.04285714285714
"4 Blocks","3",8.11666666666667
"4 Feet High","1",7.46666666666667
"4 Minutes","1",6.14285714285714
"4 O'Clock Club","1",8.9
"4 Play","1",6.2
"4 Play","2",7.05
"4 estrellas","1",6.30588235294118
"4 gegen Z","2",7.26
"4-nin wa Sorezore Uso wo Tsuku","1",7.63333333333333
"40 y 20","1",7.7
"413 Hope St.","1",6
"42 - Die Antwort auf fast alles","\N",6.4
"42 Días en la Oscuridad","1",7.95
"42 °C","1",8.0875
"4400","1",6.19230769230769
"45 Min","1",7.7
"45 Revoluciones","1",7.38461538461539
"46 Days","1",9.3
"46 Yok Olan","1",8.45384615384615
"48 Hours Presents: Live to Tell","\N",6.9
"48 Hours on ID","16",6.75
"48 Hours on ID","6",7.55
"48 Hours on ID","8",8.4
"48 Hours: Hard Evidence","\N",7.3
"49 Il","1",6.665
"4Ever","1",9.06
"4Funnies","1",8.6
"4N1K","1",7.66363636363636
"4N1K","2",8.4
"4Play","1",9.25384615384615
"4Pop","2",4.7
"4gatsu no Tokyo wa ...","1",7.8625
"4th and Forever: Muck City","1",6.8
"5 Mistakes that Caught a Killer","1",7.7
"5 Mistakes that Caught a Killer","2",8.7
"5 Second Movies","1",5.55571428571429
"5 Second Movies","2",7.36666666666667
"5 Second Movies","3",7.05
"5 Second Movies","4",6.225
"5 Years Later","1",9.35
"5 ji kara 9 ji made ~ Watashi ni koi shita ikemen sugiru obôsan","1",9.67
"50 States of Fright","1",6.77142857142857
"50 States of Fright","2",6.57
"50 Ways to Kill Your Mammy","1",8.98333333333333
"50 Ways to Kill Your Mammy","2",8.31666666666667
"50 años de","1",6.1
"50 nuances de Grecs","2",6.9
"50/50","\N",8.7
"500 Nations","1",8.375
"500 Questions","1",7.11428571428571
"500T","1",8.4
"50M²","1",6.9375
"50s Britannia","1",6.7
"54 Below Premieres","1",9
"54 Days","1",7.7
"548 días: Captada por una secta","1",7.7
"55 Degrees North","1",7.85
"55 Degrees North","2",8.1625
"5:32","1",7.84166666666667
"5X Comédia","1",6.02
"5ive Days to Midnight","1",7.26
"5th Dimension: Secrets of the Supernatural","1",4.66666666666667
"5th Gear","1",7.1
"5th Gear","18",6.6
"5th Gear","19",8.2
"5th Gear","2",7.1625
"5th Gear","21",7.7
"5th Gear","22",7.6875
"5th Gear","23",7.35
"5th Gear","3",7.475
"5th Gear","4",7.425
"5th Gear","5",7.55
"5th Gear","6",7.4
"5th Ward","1",9.26666666666667
"6 X Confiné.e.s","1",5.36
"6 passi nel giallo","1",5.75
"60 Days In","1",7.32142857142857
"60 Days In","2",7.11875
"60 Days In","3",7.23846153846154
"60 Days In","4",7.12142857142857
"60 Days In","5",7.32727272727273
